words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
argument,0,0,0,0,0,0,1,0,0
aria,0,0,0,0,0,0,1,0,0
arie,0,1,0,0,0,0,0,0,0
aristocracy,0,0,0,0,1,0,0,0,0
ark,0,0,0,0,1,0,0,0,0
arm,0,2,0,4,1,2,1,0,0
armani,0,0,0,0,1,0,0,0,0
armless,0,0,0,1,0,0,0,0,0
army,0,0,2,0,0,0,0,0,1
aroused,0,1,0,0,0,0,0,0,0
arranging,0,0,0,0,0,1,0,0,0
arrest,0,0,0,0,0,1,0,0,0
arrested,0,1,0,0,0,1,0,0,0
arrived,0,0,0,2,0,0,0,0,0
arrogance,0,0,2,0,0,1,0,0,0
arrogant,0,0,0,0,1,1,1,0,0
art,0,1,0,0,0,0,0,0,0
arthur,0,0,0,0,0,0,2,0,0
artist,0,0,2,0,0,2,0,0,0
arttype,0,0,0,0,1,0,0,0,0
asap,0,0,0,0,0,0,0,0,1
ash,0,0,0,1,0,0,0,0,0
ashford,0,0,0,0,0,1,0,0,0
ashland,0,1,0,0,0,0,0,0,0
ashtray,0,0,0,0,0,0,0,0,1
ashy,0,0,0,0,0,1,0,0,0
asian,0,0,0,0,0,0,0,1,0
asics,0,0,0,1,0,0,0,0,0
asked,0,0,0,3,0,2,1,1,0
askin,0,0,0,3,0,5,1,1,0
asleep,0,1,0,1,0,0,0,0,0
aspire,0,0,0,0,1,0,0,0,0
aspiring,0,0,0,1,0,0,0,0,0
ass,0,0,0,1,0,0,0,0,0
assassin,0,0,0,0,0,0,0,1,0
assaulting,0,0,0,0,0,1,0,0,0
assessin,0,0,0,0,0,0,1,0,0
asshole,0,1,0,1,4,1,1,0,0
assist,0,0,0,0,1,1,0,0,0
assistant,0,0,0,0,0,0,1,0,0
associate,0,0,0,0,0,1,0,0,0
assumed,0,0,0,0,0,1,0,0,0
astern,0,0,0,0,0,0,1,0,0
astoundin,0,1,0,0,0,0,0,0,0
ate,0,1,0,0,0,0,0,0,0
atheist,0,0,0,0,0,1,0,0,0
atlanta,0,1,0,0,0,0,1,0,0
atone,0,0,0,1,0,0,0,0,0
atrak,0,0,0,0,0,0,1,0,0
attention,0,0,0,0,1,0,0,0,0
attitude,1,1,2,0,1,0,0,0,1
au,0,0,0,0,1,0,0,0,0
audy,0,0,0,1,0,0,0,0,0
aunt,0,1,0,3,0,1,0,0,0
auntie,0,0,0,1,0,1,0,1,0
aunty,0,0,0,1,0,0,0,0,0
aurora,0,0,0,1,0,1,0,0,0
austin,0,0,0,0,1,0,1,0,0
author,0,1,0,0,0,0,0,0,0
autograph,1,0,0,0,0,0,0,0,0
automobile,0,0,0,0,1,0,0,0,0
autumn,0,0,0,0,1,0,0,0,0
ave,0,0,0,0,0,1,0,0,0
avenue,0,0,0,0,1,0,0,0,0
avid,0,1,0,0,0,0,0,0,0
avis,0,0,0,0,0,1,0,0,0
aw,0,0,0,0,0,1,0,0,1
awake,1,0,2,0,0,0,0,0,0
award,0,1,0,1,0,1,0,0,0
aware,0,0,0,0,0,0,0,1,0
awayayayay,0,0,0,0,0,0,1,0,0
awesome,0,1,0,0,0,0,1,0,0
